Type of property,Location,postal code,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,province
house,tournai,7500,10577261,€215000,Boulevard Delwart 22/B,4,C,193.0,0,0,0,50,0,2,0,0,0,4,0,0,0,0,0,Hainaut (West)
house,durbuy,6941,10645850,€,Rue Simon 46/2,5,E,355.0,0,1,0,1110,31,3,1918,As new,0,2,2,1,3,USA hyper equipped,Fuel oil,Luxembourg (shared with Eastern Hainaut)
house,tienen,3300,10645848,€335000,Academiestraat 23,3,E,429.0,0,1,0,865,0,2,0,To renovate,0,1,0,0,0,0,0,Flemish Brabant
house,forges,6464,10645847,€160000,Chaussée de Philippeville 22,3,F,490.0,0,0,25,3927,0,4,0,Good,0,1,0,1,0,0,Wood,Luxembourg (shared with Eastern Hainaut)
house,gent gentbrugge,9050,10645846,€349000,Hundelgemsesteenweg 230,3,D,318.0,0,1,0,110,24,2,1955,Good,0,1,0,0,1,0,0,East Flanders
house,evergem,9940,10645845,€330000,Hundelgemsesteenweg 230,3,F,816.0,0,0,0,438,16,3,0,To renovate,0,1,0,0,1,0,0,East Flanders
house,verviers,4800,10645840,€165000,"Avenue Hanlet, 2",5,D,300.0,0,1,0,230,30,2,1910,To renovate,0,2,0,0,1,Installed,Gas,Liège
house,mont-de-l'enclus,7750,10645839,€149500,Stationstraat 30,3,G,793.0,0,0,20,1501,0,4,1900,To renovate,0,1,0,0,1,Semi equipped,0,Hainaut (West)
house,ronse,9600,10645838,€695/month,Stationstraat 30,3,B,134.0,0,0,0,80,0,2,1997,Just renovated,0,1,0,0,1,Installed,Gas,East Flanders
apartment,donceel,4357,10645837,€595,Chaussée de Tirlemont 15/1,2,D,285.0,0,0,30,0,43,3,1874,Good,0,1,0,0,1,Installed,Fuel oil,Liège
villa,waterloo,1410,10645835,€550000,Chaussée Bara 339,4,G,544.0,0,0,28,1400,20,4,1956,To renovate,0,2,2,0,3,Semi equipped,Fuel oil,Walloon Brabant
villa,hondon de las nieves,03688,10645834,€332500,Rue des Raines 1,3,NS,0.0,0,1,0,216,0,4,0,As new,0,3,0,0,0,Hyper equipped,0,
apartment,santa pola,03130,10645833,€235000,Rue des Raines 1,2,NS,0.0,0,1,0,0,0,2,0,As new,0,2,0,0,0,Semi equipped,0,
apartment,aguilas,30880,10645832,€109000,Rue des Raines 1,2,NS,0.0,1,0,17,0,0,2,0,As new,0,2,0,0,2,Hyper equipped,0,
apartment,forest,1190,10645831,€195000,Avenue Louise 54,1,C,109.0,0,0,0,0,18,2,2000,As new,0,1,0,0,1,USA installed,Gas,Brussels Capital Region
house,ronse,9600,10645829,€369000,Maenhoutstraat 72A,5,B,155.0,0,1,0,1009,0,4,2009,As new,0,2,2,1,2,USA hyper equipped,Gas,East Flanders
apartment,de panne,8660,10645828,€249000,Koninklijke baan 172,2,E,432.0,0,0,0,0,0,2,2002,Good,0,1,0,1,1,0,Electric,West Flanders
house,mechelen,2800,10645823,€427000,Schoolstraat 58,3,D,360.0,0,1,0,307,32,3,1978,To be done up,0,1,0,0,2,Semi equipped,Gas,Antwerp
apartment,tournai,7500,10645822,€180000,Boulevard du Roi Albert 42/44,2,A,84.0,0,0,0,0,37,2,0,As new,0,1,1,0,1,Installed,Gas,Hainaut (West)
house,antoing bruyelle,7641,10629917,€149000,Boulevard du Roi Albert 42/44,3,G,636.0,0,0,47,263,40,3,0,To be done up,0,1,0,0,0,Semi equipped,Fuel oil,Hainaut (West)
house,leuze-en-hainaut,7900,10405373,€/mois,Boulevard du Roi Albert 42/44,5,G,521.0,0,1,0,148,35,2,0,Good,0,1,1,1,0,Semi equipped,Gas,Hainaut (West)
house,charleroi,6060,10645821,€70000,Rue de Beaumont 53,1,F,461.0,0,0,0,0,0,2,0,Good,0,1,1,0,1,0,0,Luxembourg (shared with Eastern Hainaut)
mansion,anderlues,6150,10645819,€239000,Rue de Beaumont 53,5,D,333.0,0,0,38,790,26,4,0,Good,0,1,1,0,3,0,Fuel oil,Luxembourg (shared with Eastern Hainaut)
apartment-block,mons cuesmes,7033,10645818,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hainaut (West)
house,basècles,7971,10645817,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hainaut (West)
house,mouscron,7700,10645815,€139000,Rue de Menin 400,4,F,440.0,0,1,0,69,23,2,0,Good,0,1,1,0,0,Installed,Pellet,Hainaut (West)
house,charleroi jumet,6040,10463963,€325000,"Chaussée de Philippeville, 20",5,D,304.0,0,1,0,0,0,3,0,Good,0,1,0,0,0,0,0,Luxembourg (shared with Eastern Hainaut)
house,beauraing,5570,10645808,€390000,Rue de Rochefort 62,5,E,425.0,0,1,0,1155,31,4,1985,Good,0,0,1,1,1,Installed,Fuel oil,Namur
house,nivelles,1400,10645807,€249000,Place Communale 18,4,D,286.0,0,0,0,580,30,3,1930,As new,0,1,1,0,2,Hyper equipped,Gas,Walloon Brabant
house,pont-à-celles,6230,10645806,€249000,Place Communale 18,4,D,286.0,0,0,0,580,30,3,1930,As new,0,1,1,0,2,Hyper equipped,Gas,Luxembourg (shared with Eastern Hainaut)
house,la louvière houdeng-goegnies,7110,10645805,€80000,Chaussée Paul Houtart 232,2,E,376.0,0,1,0,120,0,2,0,To be done up,0,1,0,1,2,Semi equipped,Gas,Hainaut (West)
new-real-estate-project-apartments,gent,9000,10645800,€1295000,Sint-Denijslaan 1,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
new-real-estate-project-apartments,gent,9000,10645785,€495000,Sint-Denijslaan 1,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
new-real-estate-project-apartments,gent,9000,10645781,€1079500,Sint-Denijslaan 1,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
new-real-estate-project-apartments,gent,9000,10645774,€1325000,Sint-Denijslaan 1,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
duplex,eeklo,9900,10645773,€223000,Sint-Denijslaan 1,1,B,124.0,0,0,0,0,16,2,2012,Good,0,1,0,0,1,Installed,Gas,East Flanders
penthouse,gent,9000,10645770,€698000,Sint-Denijslaan 1,2,NS,0.0,0,0,42,0,0,4,2021,As new,0,2,0,0,2,Not installed,0,East Flanders
villa,beniarbeig,03778,10645766,€645995,Sint-Denijslaan 1,3,NS,0.0,0,0,32,800,48,4,2023,As new,0,2,2,0,2,USA hyper equipped,0,
penthouse,gent,9000,10645765,€1079500,Sint-Denijslaan 1,3,NS,0.0,0,0,101,0,54,0,2023,As new,0,2,0,0,1,Hyper equipped,0,East Flanders
ground-floor,gent sint-denijs-westrem,9051,10645753,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
apartment,gent sint-denijs-westrem,9051,10645752,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
apartment,gent sint-denijs-westrem,9051,10645751,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
apartment,gent sint-denijs-westrem,9051,10645750,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
apartment,gent sint-denijs-westrem,9051,10645749,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
apartment,gent sint-denijs-westrem,9051,10645748,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
apartment,gent,9000,10645746,€285000,Ottergemsesteenweg-Zuid 808,1,B,126.0,1,0,6,0,22,2,0,As new,0,1,0,0,1,Installed,Gas,East Flanders
house,mouscron,7700,10645744,€169000,Rue Saint-Achaire 86,3,C,173.0,0,0,15,115,24,2,1950,Good,0,1,1,0,2,Installed,Gas,Hainaut (West)
apartment,mouscron,7700,10645743,€189000,Rue Saint-Achaire 86,1,A,75.0,0,1,0,0,0,2,2021,As new,0,1,0,0,1,Installed,Gas,Hainaut (West)
house,incourt,1315,10645739,€250000,Chaussée de Tirlemont 30,3,B,90.0,0,0,30,130,38,2,0,Good,0,1,0,0,2,Installed,Gas,Walloon Brabant
apartment,jette,1090,10645735,€30000,Avenue de Laeken 29,2,G,366.0,0,0,0,0,22,3,1960,Good,0,1,0,0,1,Semi equipped,0,Brussels Capital Region
house,charleroi jumet,6040,10600087,€145000,Faubourg de Bruxelles 286,2,G,632.0,0,0,0,696,0,3,1900,To be done up,0,1,1,0,1,Semi equipped,Fuel oil,Luxembourg (shared with Eastern Hainaut)
house,tongeren,3700,10645734,€328000,Hondsstraat 21B1,2,E,455.0,0,0,20,182,32,3,1965,Good,0,2,0,0,3,Installed,Gas,Limburg
villa,genappe,1470,10645730,€785000,Rue de Charleroi 31/7,6,D,340.0,0,0,100,8510,41,4,1971,Good,0,2,0,0,4,Installed,Fuel oil,Walloon Brabant
villa,grez-doiceau,1390,10645729,€475000,"Avenue de Mérode , 4",2,D,294.0,0,0,25,1120,35,4,1965,As new,0,2,0,1,1,USA hyper equipped,Gas,Walloon Brabant
house,dendermonde schoonaarde,9200,10645727,€515000,Leo de béthunelaan 8,4,NS,0.0,0,1,0,498,0,3,2013,Good,0,2,0,1,2,Hyper equipped,Gas,East Flanders
house,gosselies,6041,10645723,€199000,Route de Gozée 651/1,4,E,347.0,0,1,0,171,0,2,0,Good,0,1,0,0,0,0,0,Luxembourg (shared with Eastern Hainaut)
apartment,etterbeek,1040,10645714,€420000,"Rue Abbé Cuypers (étage 1), 3",2,C,149.0,0,0,3,0,25,0,2008,As new,0,1,0,0,1,Hyper equipped,Gas,Brussels Capital Region
mixed-use-building,charleroi,6060,10645707,€240000,Rue de la Croix 16,3,E,350.0,0,1,0,230,0,2,0,To be done up,0,1,0,0,2,Installed,Gas,Luxembourg (shared with Eastern Hainaut)
apartment,charleroi,6060,10645706,€240000,Rue de la Croix 16,3,E,350.0,0,1,0,0,0,2,0,To be done up,0,1,0,0,2,Installed,Gas,Luxembourg (shared with Eastern Hainaut)
mixed-use-building,fleurus,6220,10645704,€279000,"Rue Picard (Gare Maritime), 7",4,D,335.0,0,0,0,150,28,2,1874,Good,0,1,0,1,3,Installed,Fuel oil,Luxembourg (shared with Eastern Hainaut)
house,beringen,3582,10645703,€209000,Dorpsstraat 40,3,F,685.0,0,1,0,661,26,3,1960,To renovate,0,1,0,0,0,Semi equipped,Fuel oil,Limburg
house,lummen,3560,10645702,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Limburg
duplex,uccle,1180,10645700,€980000,"Av. du Prince de Ligne, 18",4,D,205.0,0,0,15,0,40,2,1953,As new,0,2,1,0,2,Installed,Gas,Brussels Capital Region
