Type of property,Location,postal code,immo code,Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Outdoor parking space,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,province
house,froidfontaine,5576,10654340,€349000,Rue De Bouillon 59,4,F,464.0,0,0,30,651,73,4,0,Good,0,1,1,0,3,0,Fuel oil,Namur
apartment,brasschaat,2930,10654339,€335000,Kunstlei 14,2,B,132.0,0,1,0,0,32,2,0,As new,0,1,0,0,2,Installed,Gas,Antwerp
apartment,brasschaat,2930,10654338,€299000,Kunstlei 14,2,B,186.0,0,0,4,0,38,2,0,As new,0,1,0,0,2,Installed,Gas,Antwerp
house,andrimont,4821,10654336,€185000,Borchamps 24,2,E,353.0,0,0,22,507,0,3,0,Good,0,1,1,0,2,0,Fuel oil,Liège
house,hannut,4280,10654335,€385000,Borchamps 24,3,E,410.0,0,0,30,4244,50,4,0,To be done up,0,2,1,1,3,0,Fuel oil,Liège
apartment,puurs-sint-amands,2870,10654334,€265000,Jan Hammeneikerstraat 125,1,A,56.0,0,0,24,0,37,2,2021,As new,0,1,0,0,1,Hyper equipped,0,Antwerp
house,spa,4900,10654333,€310000,Rue du Parc 10,4,C,250.0,0,0,11,222,16,2,1910,Good,0,1,13,1,2,Installed,Gas,Liège
apartment,malle westmalle,2390,10654330,€539000,Antwerpsesteenweg 209,2,A,82.0,0,1,0,0,35,3,2016,As new,0,1,0,0,2,Installed,Gas,Antwerp
flat-studio,koksijde,8670,10612458,€145000,Rozenlaan 4,1,B,105.0,0,0,0,0,0,0,0,Good,0,1,0,0,0,0,0,West Flanders
chalet,heist-op-den-berg schriek,2223,10654325,€159000,Schrieksebaan 53B001,1,C,236.0,0,1,0,559,0,4,2018,As new,0,1,0,0,1,Installed,0,Antwerp
house,hoeilaart,1560,10654324,€1980000,Chaussée de Louvain 433,6,C,251.0,0,1,0,24356,0,4,1910,Good,0,2,2,0,4,Installed,0,Flemish Brabant
house,braine-le-chÃteau wauthier-braine,1440,10654323,€395000,Rue de Nivelles 1,5,G,586.0,0,1,0,2030,51,4,1959,To renovate,0,2,0,0,2,0,Fuel oil,Walloon Brabant
flat-studio,gent,9000,10654321,€169000,"Hundelgemsesteenweg, 306",1,D,382.0,0,0,0,0,0,2,0,Good,0,1,0,0,1,Installed,0,East Flanders
house,liege,4000,10654320,€205000,Rue J. Wettinck 49,3,C,178.0,0,0,15,215,44,2,0,Good,0,2,2,1,3,Hyper equipped,Gas,Liège
house,seraing,4100,10654319,€,Rue J. Wettinck 49,4,D,330.0,0,0,40,112,32,2,0,Good,0,1,1,0,1,Semi equipped,Fuel oil,Liège
house,liege,4000,10654318,€145000,Rue J. Wettinck 49,3,E,367.0,0,0,12,110,16,3,1962,Good,0,1,1,0,1,Installed,Fuel oil,Liège
house,seraing,4101,10654317,€149000,Rue J. Wettinck 49,4,D,338.0,0,0,30,115,18,3,0,Good,0,1,0,0,1,Installed,Gas,Liège
apartment,bruxelles,1020,10654316,€345000,Chaussée de Vleurgat 293,3,E,251.0,0,0,9,0,35,3,1992,To be done up,0,2,1,0,2,Hyper equipped,0,Brussels Capital Region
house,honnelles angre,7387,10654313,€250000,Rue Joseph Dufrane 12,5,G,609.0,0,0,45,1252,32,3,0,Good,0,3,3,0,3,Not installed,Fuel oil,Hainaut (West)
apartment,knokke-heist,8300,10654310,€1395000,"Koningslaan, 131",3,A,92.0,0,0,16,0,0,2,2010,As new,0,2,2,0,2,USA hyper equipped,Gas,West Flanders
exceptional-property,anderlecht,1070,10654309,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brussels Capital Region
exceptional-property,brussels city,1000,10654308,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brussels Capital Region
house,herselt,2230,10654305,€250000,Pas 96/A,2,F,708.0,0,1,0,1087,0,4,1960,Good,0,1,0,0,0,Hyper equipped,Fuel oil,Antwerp
house,veerle,2431,10395770,€285000,Pas 96/A,2,F,580.0,0,1,0,548,0,4,1968,To be done up,0,1,0,0,1,Installed,Fuel oil,Antwerp
house,stavelot francorchamps,4970,10651426,€349000,"Avenue du chêne, 177",3,C,214.0,0,0,28,951,25,4,2000,Good,0,1,0,1,2,0,Fuel oil,Liège
house,fayt-lez-manage,7170,10654302,€104.999,"4, Place Sabatier",2,E,411.0,0,1,0,320,23,2,1900,To renovate,0,1,1,0,1,Not installed,Gas,Hainaut (West)
house,leernes,6142,10654301,€69999,"4, Place Sabatier",2,G,715.0,0,0,0,140,17,2,1900,Good,0,1,1,0,1,Semi equipped,Pellet,Luxembourg (shared with Eastern Hainaut)
house,la hestre,7170,10654300,€129999,"4, Place Sabatier",2,F,459.0,0,1,0,199,12,3,1900,To be done up,0,1,1,1,1,Semi equipped,Gas,Hainaut (West)
villa,saint-ghislain - tertre,7333,10654298,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hainaut (West)
duplex,perwez,1360,10654297,€,Rue longue 68,2,C,203.0,0,1,0,0,0,2,2013,As new,0,1,1,1,1,USA installed,Electric,Walloon Brabant
apartment,liege,4020,10654295,€,Rue de la Wallonie 2A,2,C,183.0,0,0,7,0,23,2,1965,Good,0,1,1,1,1,Installed,Gas,Liège
house,oupeye heure-le-romain,4682,10654294,€,Rue de la Wallonie 2A,6,B,128.0,0,0,50,1713,40,4,2018,As new,0,3,3,1,4,Hyper equipped,Fuel oil,Liège
house,berlare,9290,10654291,€349000,Markt 37,3,D,399.0,0,1,0,0,0,4,0,Good,0,1,1,0,0,Installed,Gas,East Flanders
apartment-block,merchtem,1785,10654286,€,Meyskensstraat 222,6,D,360.0,0,0,0,365,0,2,1935,To be done up,0,3,0,0,3,Semi equipped,Gas,Flemish Brabant
duplex,sterrebeek,1933,10654282,€,Mechelsesteenweg 231,2,B,108.0,0,0,8,0,77,0,2008,As new,0,2,1,0,2,USA hyper equipped,Gas,Flemish Brabant
mansion,antwerp,2600,10654280,€1350000,"Jordaenskaai, 21",5,C,285.0,0,1,0,386,0,2,0,0,0,2,0,0,0,0,0,Antwerp
house,quievrain,7380,10654278,€80000,rue de Valenciennes 42,3,G,945.0,0,0,0,155,13,3,1918,To renovate,0,1,1,0,1,USA installed,Gas,Hainaut (West)
house,thuin,6530,10654275,€230000,"Avenue Marie José, 59",3,E,380.0,0,0,0,4100,25,3,0,To be done up,0,1,0,1,2,Installed,Fuel oil,Luxembourg (shared with Eastern Hainaut)
apartment,hoboken,2660,10654271,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antwerp
apartment,hoboken,2660,10654270,€20.000,Waalsekaai 32,2,B,135.0,0,0,8,0,34,3,2010,As new,0,1,0,0,1,Hyper equipped,Gas,Antwerp
apartment,deurne,2100,10654269,€25.000-),Waalsekaai 32,2,E,463.0,0,0,3,0,35,3,1967,To be done up,0,1,0,0,1,USA hyper equipped,Gas,Antwerp
apartment,evere,1140,10654268,€278000,Dorp 6,2,E,258.0,0,0,0,0,23,2,0,0,0,1,0,0,2,Installed,Fuel oil,Brussels Capital Region
other-property,braine-l'alleud,1420,10654265,€335000,Chaussée d'Alsemberg 967,1,NS,0.0,0,0,0,1109,0,4,0,To restore,0,0,0,0,0,0,0,Walloon Brabant
apartment,heverlee,3001,10654264,€249000,Interleuvenlaan 66,1,C,217.0,0,0,10,0,0,2,1965,Just renovated,0,1,0,0,0,0,0,Flemish Brabant
house,deurne,2100,10325768,€299000,Langestraat 71,2,E,410.0,0,0,20,200,0,2,1955,Good,0,1,1,0,2,Installed,Gas,Antwerp
house,diest,3290,10654262,€359000,Hasseltsestraat 17,3,D,364.0,0,0,30,216,0,3,1969,Good,0,1,0,0,1,Installed,Fuel oil,Flemish Brabant
ground-floor,sint-truiden,3800,10654261,€269000,"Stationstraat 2/017 (Hoek Tiensetraat, Molenstraat)",2,E,429.0,0,0,20,0,37,0,2005,Good,0,1,0,0,1,Installed,0,Limburg
house,londerzeel,1840,10654260,€339000,Valkebeekstraat 24,3,B,139.0,0,1,0,186,0,2,0,Good,0,1,0,0,2,Installed,Gas,Flemish Brabant
penthouse,knokke-heist,8300,10654258,€95.000.,Zoutelaan 53,4,B,121.0,0,0,39,0,72,2,2004,As new,0,3,3,1,3,USA hyper equipped,Gas,West Flanders
apartment,bruxelles,1130,10654256,€209000,Chaussée de Haecht 1697,1,B,87.0,1,0,0,0,30,2,2017,As new,0,1,0,0,0,Not installed,Gas,Brussels Capital Region
house,mechelen,2800,10654255,€428000,Korenmarkt 55,3,B,134.0,0,0,30,90,20,2,1930,0,0,1,0,1,2,Hyper equipped,Gas,Antwerp
house,bonheiden,2820,10654254,€382000,Korenmarkt 55,3,F,668.0,0,1,0,545,41,3,1960,Good,0,1,0,0,2,Installed,Fuel oil,Antwerp
house,vilvoorde,1800,10654252,€297000,Korenmarkt 55,3,F,690.0,0,1,0,113,24,2,1918,0,0,1,0,0,0,0,0,Flemish Brabant
house,brasschaat,2930,10654249,€399000,Bredabaan 1026/6,3,B,138.0,0,0,0,252,12,2,1932,0,0,1,0,0,0,0,0,Antwerp
apartment,antwerp,2100,10654248,€229000,Bredabaan 1026/6,2,D,312.0,0,0,6,0,34,0,1994,0,0,1,0,0,1,0,0,Antwerp
house,ixelles,1050,10654247,€1960000,"Avenue Delleur, 8",6,C,128.0,0,1,0,300,0,2,1890,As new,0,4,2,1,0,Hyper equipped,Gas,Brussels Capital Region
apartment,mechelen,2800,10483910,€474500,Gentsesteenweg 125A,2,NS,0.0,0,0,16,0,0,0,2024,As new,0,2,0,0,1,USA hyper equipped,0,Antwerp
apartment,mechelen,2800,10483909,€428900,Gentsesteenweg 125A,2,NS,0.0,0,0,28,0,0,0,2024,As new,0,2,0,0,1,USA hyper equipped,0,Antwerp
country-cottage,herne,1541,10654244,€,Grotestraat 28,4,F,629.0,0,0,0,1670,0,4,0,To be done up,0,0,0,0,0,0,0,
apartment,flemalle,4400,10654243,€279000,rue des dominicains 4E,3,NS,0.0,0,0,15,0,0,3,2023,0,0,1,0,0,1,Installed,0,Liège
villa,sint-pieters-leeuw,1600,10654242,€850000,Galgstraat 83,4,B,175.0,0,1,0,2924,53,4,1988,Good,0,1,0,1,2,Installed,Fuel oil,Flemish Brabant
apartment-block,bruxelles,1000,10654239,€800000,Rue du Cornet 191/6,0,NS,0.0,0,0,0,0,0,2,0,To renovate,0,0,0,0,0,0,0,Brussels Capital Region
house,péruwelz,7600,10654237,€356661,"Avenue Paul Gilson, 49",3,A,0.0,0,0,0,1183,0,4,0,As new,0,1,0,0,2,0,0,Hainaut (West)
house,pecq hérinneslez-pecq,7742,10654236,€279406,"Avenue Paul Gilson, 49",3,A,0.0,0,0,0,391,0,4,0,As new,0,1,0,0,2,0,0,Hainaut (West)
house,lubbeek,3210,10654234,€499000,Leuvensesteenweg 264,4,C,271.0,0,0,0,1373,18,4,1986,Good,0,1,0,1,0,0,Fuel oil,Flemish Brabant
villa,ternat,1740,10654233,€449000,Immo Van Middelem,3,F,516.0,0,1,0,705,38,4,1992,Good,0,1,0,1,2,Hyper equipped,Electric,Flemish Brabant
apartment,leuven,3001,10654229,€448000,Kardinaal Mercierlaan 81,3,C,281.0,0,1,0,0,0,3,1976,To renovate,0,1,0,0,0,Installed,Fuel oil,Flemish Brabant
apartment,uccle,1180,10654226,€450000,Rue Du Postillon 3,2,F,279.0,0,0,1,0,48,2,0,As new,0,2,2,0,1,USA hyper equipped,0,Brussels Capital Region
house,dentergem,8720,10564072,€469000,Plein 30 a,5,D,314.0,0,1,0,680,40,4,0,Just renovated,0,1,0,1,0,USA installed,Gas,West Flanders
house,ittre,1460,10654224,€460000,Avenue Reine Astrid 215,4,F,454.0,0,1,0,804,0,3,1890,Good,0,2,1,0,4,Installed,0,Walloon Brabant
apartment,wetteren,9230,10654222,€192000,Hekkerstraat 61,2,B,122.0,0,0,6,0,35,2,1974,Good,0,1,0,0,1,Hyper equipped,Gas,East Flanders
apartment,jette,1090,10654221,€240000,av. de la Floride 77,2,E,271.0,0,0,2,0,40,2,1935,To renovate,0,1,0,0,1,Installed,Gas,Brussels Capital Region
villa,jumet,6040,10654220,€249500,"Avenue Paul Pastur, 381 bte 1",3,E,410.0,0,1,0,0,0,4,0,Good,0,2,1,1,2,Installed,Fuel oil,Luxembourg (shared with Eastern Hainaut)
exceptional-property,ixelles,1050,10654218,€2750000,Avenue Legrand 30,5,D,209.0,0,1,0,289,30,2,1910,As new,0,3,3,1,0,Hyper equipped,Gas,Brussels Capital Region
house,doische gimnée,5680,10654213,€39900,Chaussée de Liège 7,2,NS,0.0,0,0,0,72,0,3,0,To restore,0,0,0,0,0,Not installed,0,Namur
apartment,chiny,6810,10654212,€239900,Faubourg d'Arival 16,2,A,46.0,0,0,6,0,0,0,2024,0,0,1,0,0,1,0,Gas,Luxembourg (shared with Eastern Hainaut)
house,"rochefort, jemelle",5580,10654209,€350000,Route de Marche 25,3,B,146.0,0,0,68,800,28,4,1973,Just renovated,0,1,1,1,1,Hyper equipped,Fuel oil,Namur
apartment,antwerp,2020,10654207,€239000,Kapellestraat 14A,2,B,161.0,0,0,10,0,32,2,1970,Good,0,1,0,0,1,Hyper equipped,0,Antwerp
house,mechelen,2800,10640126,€279000,Brusselsesteenweg 31,2,E,434.0,0,1,0,120,20,2,1931,To renovate,0,2,1,0,2,Semi equipped,Gas,Antwerp
house,heist-op-den-berg,2220,10654205,€475000,Achiel Cleynhenslaan 19,4,F,598.0,0,1,0,2282,42,4,1962,To renovate,0,1,0,0,2,Hyper equipped,Fuel oil,Antwerp
house,heist-op-den-berg,2220,10633712,€245000,Achiel Cleynhenslaan 19,3,E,492.0,0,0,24,175,31,3,1960,To renovate,0,1,0,0,1,0,Gas,Antwerp
house,keerbergen,3140,10611481,€925000,Achiel Cleynhenslaan 19,3,A,27.0,0,1,0,922,60,4,2014,As new,0,2,0,1,2,Hyper equipped,0,Flemish Brabant
penthouse,herentals,2200,10654203,€348000,Oudstrijderslaan 38,4,B,134.0,0,1,0,0,44,2,2001,Good,0,1,0,0,2,Installed,Gas,Antwerp
house,remicourt,4350,10654201,€220000,Chaussée de Tirlemont 15/1,3,G,584.0,0,0,40,300,28,3,1910,To be done up,0,1,1,0,2,Semi equipped,Fuel oil,Liège
house,donceel,4357,10563785,€425000,Chaussée de Tirlemont 15/1,4,E,412.0,0,0,120,1570,40,4,1881,Good,0,1,0,1,2,Installed,Fuel oil,Liège
ground-floor,zutendaal,3690,10654200,€159000,Broedersstraat 8,1,B,198.0,0,0,0,0,0,2,1990,To be done up,0,1,0,0,0,0,Gas,Limburg
ground-floor,zutendaal,3690,10654199,€189000,Broedersstraat 8,2,C,246.0,0,0,0,0,0,0,1990,To be done up,0,1,0,0,0,0,Gas,Limburg
apartment,zutendaal,3690,10654198,€219000,Broedersstraat 8,3,C,237.0,0,1,0,0,0,0,1990,To be done up,0,1,0,0,0,0,Electric,Limburg
new-real-estate-project-apartments,koksijde,8670,10654193,€699000,Koninklijke baan 172,0,NS,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,West Flanders
house,sprimont,4140,10654191,€359000,Rue de la Station 3,5,C,183.0,0,1,0,778,32,3,0,As new,0,1,1,0,2,Hyper equipped,0,Liège
house,lebbeke,9280,10654190,€499000,Kerkstraat 84,4,A,72.0,0,1,0,850,0,3,1937,As new,0,1,0,0,2,USA hyper equipped,0,East Flanders
house,liège,4000,10654188,€,Rue de la Station 3,3,C,254.0,0,0,11,114,26,3,1915,Just renovated,0,1,1,1,1,Installed,Gas,Liège
duplex,dendermonde,9200,10654187,€347000,Kerkstraat 84,3,B,143.0,0,0,21,0,0,2,2011,As new,0,2,0,0,2,0,Gas,East Flanders
house,dendermonde,9200,10654186,€209000,Mechelsesteenweg 123 bus 1,5,E,447.0,0,1,0,182,0,2,1938,To renovate,0,1,0,0,0,0,0,East Flanders
house,lebbeke,9280,10654185,€750000,Mechelsesteenweg 123 bus 1,3,D,316.0,0,1,0,7885,0,4,0,Good,0,1,0,0,2,USA hyper equipped,Gas,East Flanders
apartment,kapellen,2950,10654184,€268000,Korte Nieuwstraat 16,2,D,377.0,0,0,15,0,20,2,1968,As new,0,1,1,0,1,USA hyper equipped,Fuel oil,Antwerp
farmhouse,gedinne louette-saint-pierre,5575,10654182,€200000,Rue de Charleville 19,2,G,700.0,0,0,10,775,17,3,1865,To be done up,0,1,0,1,1,USA installed,0,Namur
apartment,anderlecht,1070,10654181,€275000,Avenue Van Overbeke 134,2,A,37.0,0,0,6,0,29,2,2023,As new,0,1,0,0,1,Installed,Gas,Brussels Capital Region
ground-floor,mouscron,7700,10654179,€109000,"rue des Cheminots, 18",3,C,253.0,0,0,0,0,0,3,0,Just renovated,0,1,0,0,0,Semi equipped,Gas,Hainaut (West)
house,tournai,7500,10654178,€259000,Boulevard du Roi Albert 42/44,3,G,637.0,0,0,63,300,19,3,0,Good,0,1,1,0,0,Installed,Gas,Hainaut (West)
villa,brunehaut,7620,10629912,€280000,Boulevard du Roi Albert 42/44,3,D,337.0,0,0,85,1200,43,4,0,Good,0,1,0,0,0,Installed,Fuel oil,Hainaut (West)
apartment,knokke,8300,10654176,€635000,Lippenslaan 393,3,B,104.0,0,1,0,0,0,2,1980,As new,0,2,0,0,1,Hyper equipped,Gas,West Flanders
house,les bons villers mellet,6211,10654175,€,Chaussée de Bruxelles 159,4,NS,0.0,0,1,0,0,64,3,2023,As new,0,1,0,0,0,Installed,Gas,Luxembourg (shared with Eastern Hainaut)
house,les bons villers mellet,6211,10654174,€,Chaussée de Bruxelles 159,4,NS,0.0,0,1,0,0,64,2,2023,As new,0,1,0,0,0,Installed,Gas,Luxembourg (shared with Eastern Hainaut)
house,les bons villers mellet,6211,10654173,€,Chaussée de Bruxelles 159,4,NS,0.0,0,1,0,0,64,2,2023,As new,0,1,0,0,0,Installed,Gas,Luxembourg (shared with Eastern Hainaut)
house,les bons villers mellet,6211,10654172,€,Chaussée de Bruxelles 159,4,NS,0.0,0,1,0,0,64,2,2023,As new,0,1,0,0,0,Installed,Gas,Luxembourg (shared with Eastern Hainaut)
house,les bons villers mellet,6211,10654171,€,Chaussée de Bruxelles 159,4,NS,0.0,0,1,0,0,64,3,2023,As new,0,1,0,0,0,Installed,Gas,Luxembourg (shared with Eastern Hainaut)
country-cottage,berzée,5651,10654169,€,rue de France 26,3,G,769.0,0,0,0,0,0,3,0,To renovate,0,1,0,0,0,0,0,Namur
house,dampremy,6020,10654168,€,rue de France 26,2,G,607.0,0,0,0,0,0,3,0,Good,0,1,0,0,0,0,0,Luxembourg (shared with Eastern Hainaut)
country-cottage,linter,3350,10654166,€380000,Dirk Boutslaan 4,4,D,341.0,0,0,30,1581,71,4,1875,As new,0,1,0,0,3,Hyper equipped,Fuel oil,Flemish Brabant
apartment,auderghem,1160,10654165,€295000,Avenue de l'université 38/40,2,C,109.0,0,0,12,0,35,3,1959,To renovate,0,1,0,0,1,0,0,Brussels Capital Region
house,ixelles,1050,10654164,€575000,Avenue de l'université 38/40,6,F,308.0,0,0,0,0,20,2,1909,To renovate,0,2,1,0,2,Installed,Gas,Brussels Capital Region
house,seraing,4102,10654163,€219500,Rue Chapuis 24,3,D,315.0,0,0,0,345,23,3,1939,Good,0,1,1,0,2,0,Fuel oil,Liège
apartment,auderghem,1160,10654162,€355000,Avenue de l'université 38/40,2,D,197.0,0,0,0,0,40,2,1960,Just renovated,0,1,1,0,1,Hyper equipped,Gas,Brussels Capital Region
apartment,knokke-heist,8300,10493035,€820000,Albert plein 6,3,A,96.0,1,1,0,0,0,2,1990,As new,0,2,0,0,2,USA hyper equipped,Gas,West Flanders
apartment,bassenge,4690,10654146,€,"Thier D'oupeye,26",2,C,244.0,0,0,85,0,36,3,0,Good,0,1,0,0,2,Semi equipped,Fuel oil,Liège
apartment-block,courcelles,6180,10499166,€210000,Place Communale 18,3,D,320.0,0,0,25,200,0,2,1960,As new,0,3,3,0,3,USA semi equipped,Gas,Luxembourg (shared with Eastern Hainaut)
new-real-estate-project-houses,geraardsbergen moerbeke,9500,10654092,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
villa,geraardsbergen moerbeke,9500,10654091,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
villa,geraardsbergen moerbeke,9500,10654090,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
villa,geraardsbergen moerbeke,9500,10654088,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
villa,geraardsbergen moerbeke,9500,10654087,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
house,aiseau-presles,6250,10654084,€169000,"rue Saint-Luc, 55",2,E,349.0,0,1,0,91,0,3,1850,To renovate,0,1,1,0,2,Semi equipped,Fuel oil,Luxembourg (shared with Eastern Hainaut)
apartment,rixensart,1330,10654081,€280000,Avenue de Mérode 16B,1,D,329.0,0,1,0,0,26,0,2001,Good,0,1,1,1,1,Installed,Gas,Walloon Brabant
house,rixensart,1330,10654079,€735000,Avenue de Mérode 16B,4,E,342.0,0,1,0,3700,55,4,1979,Good,0,2,2,1,3,Hyper equipped,Gas,Walloon Brabant
apartment,saint-nicolas montegnée,4420,10654058,€99500,Avenue Louise 367,2,G,582.0,0,0,0,0,36,2,0,To be done up,0,1,1,1,0,0,0,Liège
apartment-block,saint-nicolas montegnée,4420,10654056,€65000,Avenue Louise 367,2,D,261.0,0,0,0,0,35,3,0,To renovate,0,1,1,0,1,0,0,Liège
apartment-block,liège,4000,10654055,€199999,Avenue Louise 367,3,B,165.0,0,0,0,0,28,2,0,As new,0,1,1,1,0,0,Gas,Liège
apartment-block,liège,4000,10654053,€285000,Avenue Louise 367,3,D,261.0,0,0,0,0,0,3,0,As new,0,2,2,1,0,0,Gas,Liège
house,mons,7000,10654052,€225000,Avenue Louise 367,3,B,158.0,0,1,0,0,0,2,0,To be done up,0,3,3,0,2,0,Gas,Hainaut (West)
house,mons,7000,10654050,€225000,Avenue Louise 367,3,B,158.0,0,1,0,0,0,2,0,To be done up,0,3,3,1,2,0,Gas,Hainaut (West)
ground-floor,saint-nicolas montegnée,4420,10654049,€79500,Avenue Louise 367,3,G,582.0,0,1,0,0,36,2,0,To be done up,0,0,2,1,1,0,Fuel oil,Liège
apartment-block,liège,4000,10654047,€99500,Avenue Louise 367,3,G,582.0,0,1,0,0,0,2,0,To be done up,0,0,2,1,1,0,Fuel oil,Liège
apartment,saint-nicolas,4420,10654046,€87500,Avenue Louise 367,3,G,582.0,0,0,0,0,50,2,0,To be done up,0,2,2,1,1,0,0,Liège
house,mons,7000,10654044,€199500,Avenue Louise 367,4,B,158.0,0,1,0,0,0,2,0,To be done up,0,4,2,0,0,0,Gas,Hainaut (West)
house,mons,7000,10654043,€199500,Avenue Louise 367,5,B,158.0,0,1,0,0,0,2,0,To be done up,0,2,2,0,0,0,Gas,Hainaut (West)
villa,beaumont leugnies,6500,10654040,€275000,Avenue Louise 367,3,NS,0.0,0,0,50,900,65,4,0,As new,0,1,1,1,1,USA hyper equipped,Fuel oil,Luxembourg (shared with Eastern Hainaut)
new-real-estate-project-apartments,deinze,9800,10654038,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
house,vilvoorde,1800,10654037,€249000,Stationstraat 79,2,D,302.0,0,0,0,115,27,2,1936,0,0,1,0,0,1,Hyper equipped,Gas,Flemish Brabant
apartment,deinze,9800,10654036,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
house,meise,1860,10654035,€395000,Stationstraat 79,1,E,492.0,0,1,0,728,30,4,1957,0,0,1,0,0,0,0,Fuel oil,Flemish Brabant
apartment,deinze,9800,10654034,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
apartment,deinze,9800,10654033,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
apartment,deinze,9800,10654032,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
apartment,deinze,9800,10654031,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
apartment,deinze,9800,10654030,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
apartment,deinze,9800,10654029,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
penthouse,deinze,9800,10654028,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
penthouse,deinze,9800,10654027,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
house,aalst,9300,10654024,€415000,Nieuwstraat 9,3,A,78.0,0,1,0,461,43,2,1963,Good,0,1,0,1,1,Hyper equipped,0,East Flanders
apartment,gent,9000,10654022,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,East Flanders
triplex,tremelo,3120,10654021,€300000,Aarschotsesteenweg 201A,3,B,196.0,0,0,0,0,40,3,1985,Just renovated,0,2,0,0,2,Installed,Gas,Flemish Brabant
house,zoersel,2980,10503567,€1360000,Turnhoutsebaan 75,5,C,214.0,0,0,120,4120,75,4,1971,As new,0,4,0,1,5,Hyper equipped,Gas,Antwerp
house,gent,9000,10654019,€330000,Ottergemsesteenweg-Zuid 808,4,D,358.0,0,0,0,47,30,2,1900,Good,0,1,1,0,2,Hyper equipped,Gas,East Flanders
house,mouscron,7700,10654016,€95000,Rue Saint-Achaire 86,3,D,298.0,0,0,20,130,26,2,1930,To renovate,0,1,1,0,1,Not installed,Gas,Hainaut (West)
apartment,lommel,3920,10654015,€365000,Binnensingel 70 / 2,2,A,38.0,0,1,0,0,0,3,2021,As new,0,1,0,0,1,Installed,0,Limburg
apartment,tongeren,3700,10654006,€159000,Hondsstraat 21B1,2,E,459.0,0,0,5,0,20,2,0,Just renovated,0,1,0,0,1,Hyper equipped,Gas,Limburg
apartment,tongeren,3700,10654005,€165000,Hondsstraat 21B1,3,D,338.0,0,0,2,0,28,4,1974,Good,0,1,0,0,1,Installed,Gas,Limburg
house,tongeren,3700,10654004,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Limburg
flat-studio,kessel-lo,3010,10654003,€175000,"Vanderkelenstraat, 22",1,C,222.0,0,0,0,0,0,2,0,Good,0,1,0,0,1,0,0,Flemish Brabant
house,braine-l'alleud lillois-witterzée,1428,10653997,€425000,Rue François Libert 39,3,D,271.0,0,0,20,375,40,2,1994,Good,0,2,0,0,2,Installed,Gas,Walloon Brabant
house,hemiksem,2620,10653996,€345000,Paalstraat 70,3,D,344.0,0,0,20,213,25,3,0,Good,0,1,0,0,1,Installed,Gas,Antwerp
house,braine-l'alleud,1420,10653995,€425000,Rue François Libert 39,3,D,271.0,0,0,20,375,40,2,1994,Good,0,2,0,0,2,Installed,Gas,Walloon Brabant
house,aalst moorsel,9310,10653994,€115000,Grote Baan 170,2,F,815.0,0,0,0,201,16,2,0,To renovate,0,1,0,0,1,Not installed,0,East Flanders
house,berendrecht,2040,10588264,€289000,Dorpsstraat 84,3,F,715.0,0,1,0,280,18,3,1968,Good,0,1,0,0,0,0,Fuel oil,Antwerp
villa,schoten,2900,10653993,€735000,"Mechelsesteenweg,157",3,E,419.0,0,1,0,1492,60,4,1960,Good,0,1,1,1,2,Installed,Gas,Antwerp
